"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","lrscale","gndr","agea","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","impdiff","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","prob","stratum","psu"
"ESS10e03_2",10,"3.2","02.11.2023",10021,"EE",0.99883705,1.4465542,0.072088,0.104279205,88,1,32,4,4,3,5,2,5,5,3,4,2,3,3,5,2,3,5,5,3,3,5,3,0.0030091458,438,6701
"ESS10e03_2",10,"3.2","02.11.2023",10029,"EE",0.9993511,0.7790892,0.072088,0.056162987,4,1,57,2,5,5,5,2,5,3,5,3,2,2,2,5,5,3,5,3,3,2,5,3,0.003007598,436,6755
"ESS10e03_2",10,"3.2","02.11.2023",10037,"EE",0.9990817,1.4469085,0.072088,0.104304746,88,1,19,2,5,2,6,3,2,2,1,4,2,2,2,4,3,4,3,6,1,2,5,3,0.003008409,441,6147
"ESS10e03_2",10,"3.2","02.11.2023",10047,"EE",0.9993511,0.84281754,0.072088,0.060757034,1,1,63,1,5,2,6,1,5,2,1,1,2,2,1,4,2,6,6,2,2,1,1,5,0.003007598,436,7586
"ESS10e03_2",10,"3.2","02.11.2023",10058,"EE",1.0001954,1.2162174,0.072088,0.087674685,9,2,81,3,5,2,6,5,4,1,3,3,1,2,2,5,1,5,6,6,2,1,1,5,0.0030050592,442,6719
"ESS10e03_2",10,"3.2","02.11.2023",10084,"EE",1.0001954,0.9841364,0.072088,0.07094443,3,2,54,2,5,1,5,1,3,2,2,2,3,2,5,5,1,5,3,5,3,3,5,2,0.0030050592,442,6455
"ESS10e03_2",10,"3.2","02.11.2023",10087,"EE",1.0001954,0.7560653,0.072088,0.05450324,5,2,61,3,6,5,5,3,3,3,1,1,1,1,1,5,5,3,1,2,2,1,2,5,0.0030050592,442,7021
"ESS10e03_2",10,"3.2","02.11.2023",10129,"EE",1.0009022,1.2170768,0.072088,0.08773664,3,2,79,2,6,2,6,5,2,4,3,4,2,1,4,6,4,5,3,5,2,1,3,4,0.0030029372,437,6433
"ESS10e03_2",10,"3.2","02.11.2023",10151,"EE",0.9993511,0.7790892,0.072088,0.056162987,4,1,59,5,4,4,2,2,5,5,4,5,4,2,4,4,4,5,4,5,5,4,5,4,0.003007598,436,7228
"ESS10e03_2",10,"3.2","02.11.2023",10204,"EE",0.99883705,1.1841116,0.072088,0.085360244,6,1,43,3,4,3,4,4,2,3,2,5,2,2,2,3,2,2,4,2,3,2,4,3,0.0030091458,438,7537
"ESS10e03_2",10,"3.2","02.11.2023",10211,"EE",1.0001954,1.2162174,0.072088,0.087674685,9,2,60,2,5,1,1,1,2,2,2,3,3,2,3,2,2,5,2,5,2,1,1,3,0.0030050592,442,7203
"ESS10e03_2",10,"3.2","02.11.2023",10228,"EE",0.9975014,1.0796002,0.072088,0.077826224,8,1,74,2,4,3,4,3,3,5,4,4,3,1,3,4,4,3,4,4,3,2,5,3,0.0030131752,440,6823
"ESS10e03_2",10,"3.2","02.11.2023",10229,"EE",1.0009022,0.7303744,0.072088,0.05265123,5,2,71,4,5,4,6,4,4,3,3,3,3,3,4,5,5,5,3,5,4,3,4,4,0.0030029372,437,6509
"ESS10e03_2",10,"3.2","02.11.2023",10253,"EE",0.99947894,1.0817406,0.072088,0.07798052,5,1,74,5,5,1,5,3,4,5,2,4,4,4,2,5,3,3,4,6,2,1,5,5,0.0030072134,439,6935
"ESS10e03_2",10,"3.2","02.11.2023",10257,"EE",1.0001954,0.84260833,0.072088,0.060741954,5,2,54,4,5,3,5,4,3,4,2,5,4,4,3,5,3,5,4,5,2,3,4,5,0.0030050592,442,6367
"ESS10e03_2",10,"3.2","02.11.2023",10272,"EE",0.9993511,1.1847209,0.072088,0.085404165,4,1,50,3,2,1,4,2,2,3,2,3,2,2,2,3,1,3,2,5,2,2,4,3,0.003007598,436,6158
"ESS10e03_2",10,"3.2","02.11.2023",10284,"EE",0.9993511,0.93903023,0.072088,0.067692816,7,1,38,2,4,3,1,3,2,5,5,4,3,1,3,5,2,4,5,3,2,2,2,4,0.003007598,436,7622
"ESS10e03_2",10,"3.2","02.11.2023",10287,"EE",1.0010029,1.3525991,0.072088,0.09750617,5,2,16,2,6,1,6,2,1,2,2,2,2,1,1,5,2,1,2,6,1,1,3,5,0.0030026352,443,6494
"ESS10e03_2",10,"3.2","02.11.2023",10290,"EE",0.9993511,1.1847209,0.072088,0.085404165,7,1,45,4,4,3,5,4,5,4,2,4,3,3,4,5,2,4,4,4,4,3,5,4,0.003007598,436,7491
"ESS10e03_2",10,"3.2","02.11.2023",10336,"EE",1.0009022,0.75659955,0.072088,0.05454175,6,2,63,3,5,3,5,3,2,4,3,4,2,3,2,5,5,3,4,5,2,2,2,4,0.0030029372,437,6948
